"countrycode","language","isofficial","percentage"
AFG,Pashto,1,52.4
NLD,Dutch,1,95.6
ANT,Papiamento,1,86.2
ALB,Albaniana,1,97.9
DZA,Arabic,1,86.0
ASM,Samoan,1,90.6
AND,Spanish,0,44.6
AGO,Ovimbundu,0,37.2
AIA,English,1,0.0
ATG,Creole English,0,95.7
ARE,Arabic,1,42.0
ARG,Spanish,1,96.8
ARM,Armenian,1,93.4
ABW,Papiamento,0,76.7
AUS,English,1,81.2
AZE,Azerbaijani,1,89.0
BHS,Creole English,0,89.7
BHR,Arabic,1,67.7
BGD,Bengali,1,97.7
BRB,Bajan,0,95.1
BEL,Dutch,1,59.2
BLZ,English,1,50.8
BEN,Fon,0,39.8
BMU,English,1,100.0
BTN,Dzongkha,1,50.0
BOL,Spanish,1,87.7
BIH,Serbo-Croatian,1,99.2
BWA,Tswana,0,75.5
BRA,Portuguese,1,97.5
GBR,English,1,97.3
VGB,English,1,0.0
BRN,Malay,1,45.5
BGR,Bulgariana,1,83.2
BFA,Mossi,0,50.2
BDI,Kirundi,1,98.1
CYM,English,1,0.0
CHL,Spanish,1,89.7
COK,Maori,1,0.0
CRI,Spanish,1,97.5
DJI,Somali,0,43.9
DMA,Creole English,0,100.0
DOM,Spanish,1,98.0
ECU,Spanish,1,93.0
EGY,Arabic,1,98.8
SLV,Spanish,1,100.0
ERI,Tigrinja,1,49.1
ESP,Spanish,1,74.4
ZAF,Zulu,1,22.7
ETH,Oromo,0,31.0
FLK,English,1,0.0
FJI,Fijian,1,50.8
PHL,Pilipino,1,29.3
FRO,Faroese,1,100.0
GAB,Fang,0,35.8
GMB,Malinke,0,34.1
GEO,Georgiana,1,71.7
GHA,Akan,0,52.4
GIB,English,1,88.9
GRD,Creole English,0,100.0
GRL,Greenlandic,1,87.5
GLP,Creole French,0,95.0
GUM,English,1,37.5
GTM,Spanish,1,64.7
GIN,Ful,0,38.6
GNB,Crioulo,0,36.4
GUY,Creole English,0,96.4
HTI,Haiti Creole,0,100.0
HND,Spanish,1,97.2
HKG,Canton Chinese,0,88.7
SJM,Norwegian,1,0.0
IDN,Javanese,0,39.4
IND,Hindi,1,39.9
IRQ,Arabic,1,77.2
IRN,Persian,1,45.7
IRL,English,1,98.4
ISL,Icelandic,1,95.7
ISR,Hebrew,1,63.1
ITA,Italian,1,94.1
TMP,Sunda,0,0.0
AUT,German,1,92.0
JAM,Creole English,0,94.2
JPN,Japanese,1,99.1
YEM,Arabic,1,99.6
JOR,Arabic,1,97.9
CXR,Chinese,0,0.0
YUG,Serbo-Croatian,1,75.2
KHM,Khmer,1,88.6
CMR,Fang,0,19.7
CAN,English,1,60.4
CPV,Crioulo,0,100.0
KAZ,Kazakh,1,46.0
KEN,Kikuyu,0,20.9
CAF,Gbaya,0,23.8
CHN,Chinese,1,92.0
KGZ,Kirgiz,1,59.7
KIR,Kiribati,1,98.9
COL,Spanish,1,99.0
COM,Comorian,1,75.0
COG,Kongo,0,51.5
COD,Luba,0,18.0
CCK,Malay,0,0.0
PRK,Korean,1,99.9
KOR,Korean,1,99.9
GRC,Greek,1,98.5
HRV,Serbo-Croatian,1,95.9
CUB,Spanish,1,100.0
KWT,Arabic,1,78.1
CYP,Greek,1,74.1
LAO,Lao,1,67.2
LVA,Latvian,1,55.1
LSO,Sotho,1,85.0
LBN,Arabic,1,93.0
LBR,Kpelle,0,19.5
LBY,Arabic,1,96.0
LIE,German,1,89.0
LTU,Lithuanian,1,81.6
LUX,Luxembourgish,1,64.4
ESH,Arabic,1,100.0
MAC,Canton Chinese,0,85.6
MDG,Malagasy,1,98.9
MKD,Macedonian,1,66.5
MWI,Chichewa,1,58.3
MDV,Dhivehi,1,100.0
MYS,Malay,1,58.4
MLI,Bambara,0,31.8
MLT,Maltese,1,95.8
MAR,Arabic,1,65.0
MHL,Marshallese,1,96.8
MTQ,Creole French,0,96.6
MRT,Hassaniya,0,81.7
MUS,Creole French,0,70.6
MYT,Mahoré,0,41.9
MEX,Spanish,1,92.1
FSM,Trukese,0,41.6
MDA,Romanian,1,61.9
MCO,French,1,41.9
MNG,Mongolian,1,78.8
MSR,English,1,0.0
MOZ,Makua,0,27.8
MMR,Burmese,1,69.0
NAM,Ovambo,0,50.7
NRU,Nauru,1,57.5
NPL,Nepali,1,50.4
NIC,Spanish,1,97.6
NER,Hausa,0,53.1
NGA,Joruba,0,21.4
NIU,Niue,0,0.0
NFK,English,1,0.0
NOR,Norwegian,1,96.6
CIV,Akan,0,30.0
OMN,Arabic,1,76.7
PAK,Punjabi,0,48.2
PLW,Palau,1,82.2
PAN,Spanish,1,76.8
PNG,Papuan Languages,0,78.1
PRY,Spanish,1,55.1
PER,Spanish,1,79.8
PCN,Pitcairnese,0,0.0
MNP,Philippene Languages,0,34.1
PRT,Portuguese,1,99.0
PRI,Spanish,1,51.3
POL,Polish,1,97.6
GNQ,Fang,0,84.8
QAT,Arabic,1,40.7
FRA,French,1,93.6
GUF,Creole French,0,94.3
PYF,Tahitian,0,46.4
REU,Creole French,0,91.5
ROM,Romanian,1,90.7
RWA,Rwanda,1,100.0
SWE,Swedish,1,89.5
SHN,English,1,0.0
KNA,Creole English,0,100.0
LCA,Creole French,0,80.0
VCT,Creole English,0,99.1
SPM,French,1,0.0
DEU,German,1,91.3
SLB,Malenasian Languages,0,85.6
ZMB,Bemba,0,29.7
WSM,Samoan-English,0,52.0
SMR,Italian,1,100.0
STP,Crioulo,0,86.3
SAU,Arabic,1,95.0
SEN,Wolof,1,48.1
SYC,Seselwa,0,91.3
SLE,Mende,0,34.8
SGP,Chinese,1,77.1
SVK,Slovak,1,85.6
SVN,Slovene,1,87.9
SOM,Somali,1,98.3
LKA,Singali,1,60.3
SDN,Arabic,1,49.4
FIN,Finnish,1,92.7
SUR,Sranantonga,0,81.0
SWZ,Swazi,1,89.9
CHE,German,1,63.6
SYR,Arabic,1,90.0
TJK,Tadzhik,1,62.2
TWN,Min,0,66.7
TZA,Nyamwesi,0,21.1
DNK,Danish,1,93.5
THA,Thai,1,52.6
TGO,Ewe,1,23.2
TKL,Tokelau,0,0.0
TON,Tongan,1,98.3
TTO,English,0,93.5
TCD,Sara,0,27.7
CZE,Czech,1,81.2
TUN,Arabic,1,69.9
TUR,Turkish,1,87.6
TKM,Turkmenian,1,76.7
TCA,English,1,0.0
TUV,Tuvalu,1,92.5
UGA,Ganda,0,18.1
UKR,Ukrainian,1,64.7
HUN,Hungarian,1,98.5
URY,Spanish,1,95.7
NCL,Malenasian Languages,0,45.4
NZL,English,1,87.0
UZB,Uzbek,1,72.6
BLR,Belorussian,1,65.6
WLF,Wallis,0,0.0
VUT,Bislama,1,56.6
VAT,Italian,1,0.0
VEN,Spanish,1,96.9
RUS,Russian,1,86.6
